type,dcs_role,armor_class,life,speed_ms,speed_kmh,attributes,weapons,notes
2S9 Nona,Artillery,1,4,16.67,60.0,All;Armed ground units;Armed vehicles;Artillery;Ground Units;Ground Units Non Airdefence;Ground vehicles;Indirect fire;LightArmoredUnits;NonAndLightArmoredUnits;Vehicles,2A60_120,"DCS-native ""Artillery;Indirect fire"" tags - confirms indirect fire role directly"
UAZ-469,Car,0,1.8,27.78,100.0,All;Cars;Ground Units;Ground Units Non Airdefence;Ground vehicles;NonAndLightArmoredUnits;NonArmoredUnits;Unarmed vehicles;Vehicles;human_vehicle,,
BMD-1,IFV,2,3,16.95,61.0,ATGM;All;AntiAir Armed Vehicles;Armed ground units;Armed vehicles;Armored vehicles;Ground Units;Ground Units Non Airdefence;Ground vehicles;IFV;Infantry carriers;LightArmoredUnits;NonAndLightArmoredUnits;Vehicles,2A28_73;7_62x54;7_62x54_NOTRACER;MALUTKA,has ATGM tag
M-2 Bradley,IFV,2,6,18.33,66.0,ATGM;All;AntiAir Armed Vehicles;Armed ground units;Armed vehicles;Armored vehicles;Datalink;Ground Units;Ground Units Non Airdefence;Ground vehicles;IFV;Infantry carriers;LightArmoredUnits;NonAndLightArmoredUnits;Vehicles,M242_25_HE_M792;M242_25_AP_M791;TOW2;7_62x51tr;7_62x51,has ATGM tag (TOW)
BMP-2,IFV,2,5,18.33,66.0,ATGM;All;AntiAir Armed Vehicles;Armed ground units;Armed vehicles;Armored vehicles;Ground Units;Ground Units Non Airdefence;Ground vehicles;IFV;Infantry carriers;LightArmoredUnits;NonAndLightArmoredUnits;Vehicles,2A42_30_HE;2A42_30_AP;7_62x54;7_62x54_NOTRACER;KONKURS,has ATGM tag (9M111/9M113 via 9K111)
BMP-3,IFV,2,5,19.44,70.0,ATGM;All;AntiAir Armed Vehicles;Armed ground units;Armed vehicles;Armored vehicles;Ground Units;Ground Units Non Airdefence;Ground vehicles;IFV;Infantry carriers;LightArmoredUnits;NonAndLightArmoredUnits;Vehicles,UOF_17_100HE;2A42_30_HE;2A42_30_AP;7_62x54;7_62x54_NOTRACER;P_9M117,"has ATGM tag; shares 2A42_30_HE/AP shell ids with BMP-2 despite different gun (2A72) - see min_range_m flag in weapons-template.csv"
Soldier M4,Infantry,0,1.04,4.00,14.4,All;Armed ground units;Ground Units;Ground Units Non Airdefence;Infantry;NonAndLightArmoredUnits;NonArmoredUnits,5_56x45_Carbine;5_56x45_NOtr_Carbine,
Soldier M249,Infantry,0,1.04,4.00,14.4,All;Armed ground units;Ground Units;Ground Units Non Airdefence;Infantry;NonAndLightArmoredUnits;NonArmoredUnits;Prone,5_56x45_SAW;5_56x45_NOtr_SAW,
Infantry AK,Infantry,0,1.04,4.00,14.4,All;Armed ground units;Ground Units;Ground Units Non Airdefence;Infantry;New infantry;NonAndLightArmoredUnits;NonArmoredUnits;Skeleton_type_A,5_45x39;5_45x39_NOtr,
Paratrooper RPG-16,Infantry,0,1.04,4.00,14.4,All;Armed ground units;Ground Units;Ground Units Non Airdefence;Infantry;NonAndLightArmoredUnits;NonArmoredUnits,PG_16V,
Strela-10M3,SAM,1,3,16.67,60.0,AA_missile;Air Defence;All;Armed Air Defence;Ground Units;Ground vehicles;IR Guided SAM;NonAndLightArmoredUnits;NonArmoredUnits;SAM;SAM TR;SAM elements;SAM related;SR SAM;Vehicles,SA9M333;7_62x54;7_62x54_NOTRACER,"IR-guided short range SAM; AMMODATA also revealed a 7.62mm MG not in the original loadout"
Strela-1 9P31,SAM,1,3,27.78,100.0,AA_missile;Air Defence;All;Armed Air Defence;Ground Units;Ground vehicles;IR Guided SAM;NonAndLightArmoredUnits;NonArmoredUnits;SAM;SAM related;SR SAM;Vehicles,SA9M31M,IR-guided short range SAM
M-1 Abrams,Tank,3,32,18.53,66.7,All;AntiAir Armed Vehicles;Armed ground units;Armed vehicles;Armored vehicles;Datalink;Ground Units;Ground Units Non Airdefence;Ground vehicles;HeavyArmoredUnits;Modern Tanks;Tanks;Vehicles,M256_120_AP;M256_120_HE;M2_12_7_T;M2_12_7;7_62x51tr;7_62x51,
T-72B,Tank,3,25,16.67,60.0,All;AntiAir Armed Vehicles;Armed ground units;Armed vehicles;Armored vehicles;Ground Units;Ground Units Non Airdefence;Ground vehicles;HeavyArmoredUnits;Modern Tanks;Tanks;Vehicles,2A46M_125_AP;2A46M_125_HE;SVIR;7_62x54;7_62x54_NOTRACER;Utes_12_7x108_T;Utes_12_7x108,"AMMODATA revealed a gun-launched ATGM (SVIR/AT-11) not in the original loadout"
T-80U,Tank,3,28,19.44,70.0,All;AntiAir Armed Vehicles;Armed ground units;Armed vehicles;Armored vehicles;Ground Units;Ground Units Non Airdefence;Ground vehicles;HeavyArmoredUnits;Modern Tanks;Tanks;Vehicles,2A46M_125_AP;2A46M_125_HE;REFLEX;7_62x54;7_62x54_NOTRACER;Utes_12_7x108_T;Utes_12_7x108,"AMMODATA revealed a gun-launched ATGM (REFLEX/AT-11) not in the original loadout"
GAZ-66,Truck,0,2,20.83,75.0,All;Ground Units;Ground Units Non Airdefence;Ground vehicles;NonAndLightArmoredUnits;NonArmoredUnits;Trucks;Unarmed vehicles;Vehicles,,
M 818,Truck,0,2,20.83,75.0,All;Datalink;Ground Units;Ground Units Non Airdefence;Ground vehicles;NonAndLightArmoredUnits;NonArmoredUnits;Trucks;Unarmed vehicles;Vehicles,,
KAMAZ Truck,Truck,0,2,20.83,75.0,All;Ground Units;Ground Units Non Airdefence;Ground vehicles;NonAndLightArmoredUnits;NonArmoredUnits;Trucks;Unarmed vehicles;Vehicles,,
Ural-375,Truck,0,2,20.83,75.0,All;Ground Units;Ground Units Non Airdefence;Ground vehicles;NonAndLightArmoredUnits;NonArmoredUnits;Trucks;Unarmed vehicles;Vehicles,,
Ural-4320-31,Truck,0,3,20.83,75.0,All;Ground Units;Ground Units Non Airdefence;Ground vehicles;NonAndLightArmoredUnits;NonArmoredUnits;Trucks;Unarmed vehicles;Vehicles,,
Ural-4320T,Truck,0,2,20.83,75.0,All;Ground Units;Ground Units Non Airdefence;Ground vehicles;NonAndLightArmoredUnits;NonArmoredUnits;Trucks;Unarmed vehicles;Vehicles,,
Kamaz 43101,UNKNOWN,,,,,,,"BAD DATA - DCS logged ""Unit Kamaz 43101 is unknown"," replaced with Leopard-2"". Verify exact type string in Mission Editor (check the .miz mission table after placing it) and re-run the dump for this entry only."
Avenger,UNKNOWN,,,,,,,"BAD DATA - DCS logged ""Unit Avenger is unknown, replaced with Leopard-2"". Real DCS type name is very likely ""M1097 Avenger"" - verify in Mission Editor and re-run the dump for this entry only."
